Customer Class_,Customer Subclass_,Lower Limit Demand_,Upper Limit Demand_,Lower Limit Consumption_,Upper Limit Consumption_,Supply Period Start_,Supply Period End_,Supply Period_,kWh Attributable_,kW Attributable_,Generation Charge_per kWh,Transmission Charge_per kWh,Distribution Charge_per kWh,Supply Charge_per kWh,Metering Charge_per kWh,System Loss Charge_per kWh,UC-ME_per kWh,UC-EC_per kWh,UC-SCC_per kWh,Fit-All (Renewable)_per kWh,Lifeline Rate Subsidy_per kWh,Senior Citizen Subsidy_per kWh,Power Act Reduction_per kWh,Distribution Rate True-Up_per kWh,Current RPT Charge_per kWh,UC-ME for (NPC-SPUG)_per kWh,UC-ME for (RED-CI)_per kWh,UC-SD_per kWh,Prev. Mos' Adj on Gen Cost_per kWh,Dist Rate True-Up 1_per kWh,Dist Rate True-Up 2_per kWh,Dist Rate True-Up 3_per kWh,Dist Rate True-Up 4_per kWh,Cross Subsidy Charge_per kWh,For Non-lifeline: Lifeline Subsidy_per kWh,Current RPT_per kWh,Prev. Mos' Adj on Gen_per kWh,Reset Cost Adjustment_per kWh,Total per kWh_,Transmission Charge_per kW,Distribution Charge_per kW,Total per kW_,Supply Charge_per cust/mo,Metering Charge_per cust/mo,Total per cust/mo_,Lifeline Discount_%,Special Discount_%,For Lifeline: Applicable Discounts_%,Total %_,Power Factor Adj_Penalty,Power Factor Adj_Disc
FLAT STREETLIGHTS,"250 W Mercury, 150 W HPS(or equivalent)",,,,,12-26-12,01-25-13,01-13,502.5467,0.0,388.00,57.02,157.45,50.92,,43.94,7.79,0.17,,,8.93,0.0067,,,,,,,,,,,,0.69,,,2.10,,717.0167,,,0.0,,,0.0,,,,0.0,,
FLAT STREETLIGHTS,"400 W Mercury, 250 W HPS(or equivalent)",,,,,12-26-12,01-25-13,01-13,840.0812000000001,0.0,648.59,95.32,263.20,85.12,,73.45,13.03,0.28,,,14.93,0.0112,,,,,,,,,,,,1.15,,,3.52,,1198.6012000000003,,,0.0,,,0.0,,,,0.0,,
FLAT STREETLIGHTS,400 W HPS(or equivalent),,,,,12-26-12,01-25-13,01-13,297.48740000000004,0.0,"1,007.63",148.09,408.90,132.24,,114.11,20.24,0.44,,,23.19,0.0174,,,,,,,,,,,,1.79,,,5.46,,854.4774,,,0.0,,,0.0,,,,0.0,,
Residential,0 TO 20 KWH,,,0.0,20.0,12-26-13,01-25-14,01-14,7.6682,0.0,5.6673,0.9333,1.2225,0.6043,0.4066,0.6062,0.1561,0.0025,0.1938,,,,,,,,,,0.0314,,,,,,,,,,9.824,,,0.0,19.88,5.00,24.88,100.00%,,,100.0,,
Residential,21 TO 50 KWH,,,21.0,50.0,12-26-13,01-25-14,01-14,7.6682,0.0,5.6673,0.9333,1.2225,0.6043,0.4066,0.6062,0.1561,0.0025,0.1938,,,,,,,,,,0.0314,,,,,,,,,,9.824,,,0.0,19.88,5.00,24.88,50.00%,,,50.0,,
Residential,51 TO 70 KWH,,,51.0,70.0,12-26-13,01-25-14,01-14,7.6682,0.0,5.6673,0.9333,1.2225,0.6043,0.4066,0.6062,0.1561,0.0025,0.1938,,,,,,,,,,0.0314,,,,,,,,,,9.824,,,0.0,19.88,5.00,24.88,35.00%,,,35.0,,
Residential,71 TO 100 KWH,,,71.0,100.0,12-26-13,01-25-14,01-14,7.6682,0.0,5.6673,0.9333,1.2225,0.6043,0.4066,0.6062,0.1561,0.0025,0.1938,,,,,,,,,,0.0314,,,,,,,,,,9.824,,,0.0,19.88,5.00,24.88,20.00%,,,20.0,,
Residential,101 TO 200 KWH,,,101.0,200.0,12-26-13,01-25-14,01-14,7.7856,0.0,5.6673,0.9333,1.2225,0.6043,0.4066,0.6062,0.1561,0.0025,0.1938,,0.1173,0.0001,,,,,,,0.0314,,,,,,,,,,9.9414,,,0.0,19.88,5.00,24.88,,,,0.0,,
Residential,201 TO 300 KWH,,,201.0,300.0,12-26-13,01-25-14,01-14,7.7856,0.0,5.6673,0.9333,1.5798,0.6043,0.4066,0.6062,0.1561,0.0025,0.1938,,0.1173,0.0001,,,,,,,0.0314,,,,,,,,,,10.2987,,,0.0,19.88,5.00,24.88,,,,0.0,,
Residential,301 TO 400 KWH,,,301.0,400.0,12-26-13,01-25-14,01-14,7.7856,0.0,5.6673,0.9333,1.9170,0.6043,0.4066,0.6062,0.1561,0.0025,0.1938,,0.1173,0.0001,,,,,,,0.0314,,,,,,,,,,10.635900000000001,,,0.0,19.88,5.00,24.88,,,,0.0,,
