Charge,Customer Class,Customer Subclass,Lower Limit Demand,Upper Limit Demand,Lower Limit Consumption,Upper Limit Consumption,Generation Charge,Transmission Charge,Transmission Charge,Distribution Charge,Distribution Charge,Supply Charge,Supply Charge,Metering Charge,Metering Charge,System Loss Charge,UC-ME,UC-EC,UC-SCC,Fit-All (Renewable),Lifeline Rate Subsidy,Senior Citizen Subsidy,Lifeline Discount,Special Discount,Power Factor Adj,Power Factor Adj,Supply Period,Supply Period Start,Supply Period End,Power Act Reduction,Distribution Rate True-Up,Current RPT Charge,UC-ME for (NPC-SPUG),UC-ME for (RED-CI),UC-SD,Prev. Mos' Adj on Gen Cost,Dist Rate True-Up 1,Dist Rate True-Up 2,Dist Rate True-Up 3,Dist Rate True-Up 4,Cross Subsidy Charge,For Non-lifeline: Lifeline Subsidy,For Lifeline: Applicable Discounts,Current RPT,Prev. Mos' Adj on Gen,Reset Cost Adjustment,kWh Attributable,kW Attributable
Unit,,,,,,,per kWh,per kWh,per kW,per kWh,per kW,per kWh,per cust/mo,per kWh,per cust/mo,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,%,%,Penalty,Disc,,,,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,per kWh,%,per kWh,per kWh,per kWh,,
31,Residential,71 TO 100 KWH,,,71.0,100,5.8995,1.0165,,1.2225,,0.6043,19.88,0.4066,5.00,0.6133,0.1180,0.0025,0.1938,,,,20.00%,,,,Apr-2014,03-26-2014,04-25-2014,,,,,,,0.0000,,,,,,,,,,,1.9385,0.0
32,Residential,101 TO 200 KWH,,,101.0,200,5.8995,1.0165,,1.2225,,0.6043,19.88,0.4066,5.00,0.6133,0.1180,0.0025,0.1938,,0.1611,0.0001,,,,,Apr-2014,03-26-2014,04-25-2014,,,,,,,0.0000,,,,,,,,,,,2.0997,0.0
33,Residential,201 TO 300 KWH,,,201.0,300,5.8995,1.0165,,1.5798,,0.6043,19.88,0.4066,5.00,0.6133,0.1180,0.0025,0.1938,,0.1611,0.0001,,,,,Apr-2014,03-26-2014,04-25-2014,,,,,,,0.0000,,,,,,,,,,,2.0997,0.0
34,Residential,301 TO 400 KWH,,,301.0,400,5.8995,1.0165,,1.9170,,0.6043,19.88,0.4066,5.00,0.6133,0.1180,0.0025,0.1938,,0.1611,0.0001,,,,,Apr-2014,03-26-2014,04-25-2014,,,,,,,0.0000,,,,,,,,,,,2.0997,0.0
35,Residential,OVER 400 KWH,,,400.0,,5.8995,1.0165,,2.5043,,0.6043,19.88,0.4066,5.00,0.6133,0.1180,0.0025,0.1938,,0.1611,0.0001,,,,,Apr-2014,03-26-2014,04-25-2014,,,,,,,0.0000,,,,,,,,,,,2.0997,0.0
36,General Service A,0 TO 200 KWH,,,0.0,200,5.8995,1.0165,,1.2225,,0.6043,19.88,0.4066,5.00,0.6133,0.1180,0.0025,0.1938,,0.1611,0.0001,,5%,,,Apr-2014,03-26-2014,04-25-2014,,,,,,,0.0000,,,,,,,,,,,2.0997,0.0
37,General Service A,201 TO 300 KWH,,,201.0,300,5.8995,1.0165,,1.5798,,0.6043,19.88,0.4066,5.00,0.6133,0.1180,0.0025,0.1938,,0.1611,0.0001,,5%,,,Apr-2014,03-26-2014,04-25-2014,,,,,,,0.0000,,,,,,,,,,,2.0997,0.0
38,General Service A,301 TO 400 KWH,,,301.0,400,5.8995,1.0165,,1.9170,,0.6043,19.88,0.4066,5.00,0.6133,0.1180,0.0025,0.1938,,0.1611,0.0001,,5%,,,Apr-2014,03-26-2014,04-25-2014,,,,,,,0.0000,,,,,,,,,,,2.0997,0.0
39,General Service A,OVER 400 KWH,,,400.0,,5.8995,1.0165,,2.5043,,0.6043,19.88,0.4066,5.00,0.6133,0.1180,0.0025,0.1938,,0.1611,0.0001,,5%,,,Apr-2014,03-26-2014,04-25-2014,,,,,,,0.0000,,,,,,,,,,,2.0997,0.0
40,General Service B,General Service B,5.0,40.0,,,5.8995,,310.58,0.1625,281.84,,441.49,,430.62,0.6133,0.1180,0.0025,0.1938,,0.1611,0.0001,,3%,,,Apr-2014,03-26-2014,04-25-2014,,,,,,,0.0000,,,,,,,,,,,1.0888,0.0
41,General Power (GP) Secondary,MEDIUM SECONDARY,40.0,200.0,,,5.8995,,345.02,0.1625,281.84,,"1,004.45",,"1,009.53",0.6133,0.1180,0.0025,0.1938,,0.1611,0.0001,,3%,1.4%,0.7%,Apr-2014,03-26-2014,04-25-2014,,,,,,,0.0000,,,,,,,,,,,1.0888,0.0
42,General Power (GP) Secondary,LARGE SECONDARY,200.0,750.0,,,5.8995,,345.02,0.1625,281.84,,"4,166.09",,"4,189.45",0.6133,0.1180,0.0025,0.1938,,0.1611,0.0001,,3%,1.4%,0.7%,Apr-2014,03-26-2014,04-25-2014,,,,,,,0.0000,,,,,,,,,,,1.0888,0.0
43,GP 13.8 KV and below,MEDIUM 13.8 KV AND BELOW,40.0,200.0,,,5.8995,,352.69,0.0609,217.08,,"1,004.45",,"1,009.53",0.2545,0.1180,0.0025,0.1938,,0.1611,0.0001,,3%,1.4%,0.7%,Apr-2014,03-26-2014,04-25-2014,,,,,,,0.0000,,,,,,,,,,,0.73,0.0
44,GP 13.8 KV and below,LARGE 13.8 KV AND BELOW,200.0,750.0,,,5.8995,,352.69,0.0609,217.08,,"4,166.09",,"4,189.45",0.2545,0.1180,0.0025,0.1938,,0.1611,0.0001,,3%,1.4%,0.7%,Apr-2014,03-26-2014,04-25-2014,,,,,,,0.0000,,,,,,,,,,,0.73,0.0
45,GP 13.8 KV and below,VERY LARGE 13.8 KV AND BELOW,750.0,10000.0,,,5.8995,,352.69,0.0609,217.08,,"15,124.68",,"14,350.77",0.2545,0.1180,0.0025,0.1938,,0.1611,0.0001,,3%,1.4%,0.7%,Apr-2014,03-26-2014,04-25-2014,,,,,,,0.0000,,,,,,,,,,,0.73,0.0
46,GP 34.5 KV,MEDIUM 34.5 KV,40.0,200.0,,,5.8995,,386.66,0.0609,217.08,,"1,004.45",,"1,009.53",0.2545,0.1180,0.0025,0.1938,,0.1611,0.0001,,3%,1.4%,0.7%,Apr-2014,03-26-2014,04-25-2014,,,,,,,0.0000,,,,,,,,,,,0.73,0.0
47,GP 34.5 KV,LARGE 34.5 KV,200.0,750.0,,,5.8995,,386.66,0.0609,217.08,,"4,166.09",,"4,189.45",0.2545,0.1180,0.0025,0.1938,,0.1611,0.0001,,3%,1.4%,0.7%,Apr-2014,03-26-2014,04-25-2014,,,,,,,0.0000,,,,,,,,,,,0.73,0.0
48,GP 34.5 KV,VERY LARGE AND EXTRA LARGE 34.5 KV,750.0,10000.0,,,5.8995,,386.66,0.0609,217.08,,"15,124.68",,"14,350.77",0.2545,0.1180,0.0025,0.1938,,0.1611,0.0001,,3%,1.4%,0.7%,Apr-2014,03-26-2014,04-25-2014,,,,,,,0.0000,,,,,,,,,,,0.73,0.0
49,GP 115 KV / 69 KV,GP 115 KV / 69 KV,,,,,5.8995,,303.80,0.0609,170.08,,"15,124.68",,"14,350.77",0.0754,0.1180,0.0025,0.1938,,0.1611,0.0001,,3%,1.4%,0.7%,Apr-2014,03-26-2014,04-25-2014,,,,,,,0.0000,,,,,,,,,,,0.5509,0.0
50,GHMSCI,GHMSCI,,,,,5.8995,1.2229,,1.0301,,,331.09,,330.93,0.6133,0.1180,0.0025,0.1938,,0.1611,0.0001,,,,,Apr-2014,03-26-2014,04-25-2014,,,,,,,0.0000,,,,,,,,,,,1.0888,0.0
51,FLAT STREETLIGHTS,Per kWh,,,,,5.8995,1.0188,,2.3867,,0.7719,,,,0.6133,0.1180,0.0025,0.1938,,0.1611,0.0001,,,,,Apr-2014,03-26-2014,04-25-2014,,,,,,,0.0000,,,,,,,,,,,1.8606999999999998,0.0
52,FLAT STREETLIGHTS,"125 W Mercury, 70 W HPS(or equivalent)",,,,,247.78,42.79,,100.24,,32.42,,,,25.76,4.96,0.11,8.14,,6.77,0.0042,,,,,Apr-2014,03-26-2014,04-25-2014,,,,,,,0.00,,,,,,,,,,,78.1642,0.0
53,FLAT STREETLIGHTS,"250 W Mercury, 150 W HPS(or equivalent)",,,,,395.27,68.26,,159.91,,51.72,,,,41.09,7.91,0.17,12.98,,10.79,0.0067,,,,,Apr-2014,03-26-2014,04-25-2014,,,,,,,0.00,,,,,,,,,,,124.66669999999999,0.0
54,FLAT STREETLIGHTS,"400 W Mercury, 250 W HPS(or equivalent)",,,,,660.74,114.11,,267.31,,86.45,,,,68.69,13.22,0.28,21.71,,18.04,0.0112,,,,,Apr-2014,03-26-2014,04-25-2014,,,,,,,0.00,,,,,,,,,,,208.4012,0.0
55,FLAT STREETLIGHTS,400 W HPS(or equivalent),,,,,"1,026.51",177.27,,415.29,,134.31,,,,106.71,20.53,0.44,33.72,,28.03,0.0174,,,,,Apr-2014,03-26-2014,04-25-2014,,,,,,,0.00,,,,,,,,,,,323.7574,0.0
56,Residential,0 TO 20 KWH,,,0.0,20,5.4121,0.9386,,1.1282,,0.5730,18.85,0.3840,5.00,0.5579,0.1561,0.0025,0.1938,0.0406,,,100.00%,,,,Apr-2015,03-26-2015,04-25-2015,,,,,,,,,,,,,,,,,,1.9078999999999997,0.0
57,Residential,21 TO 50 KWH,,,21.0,50,5.4121,0.9386,,1.1282,,0.5730,18.85,0.3840,5.00,0.5579,0.1561,0.0025,0.1938,0.0406,,,50.00%,,,,Apr-2015,03-26-2015,04-25-2015,,,,,,,,,,,,,,,,,,1.9078999999999997,0.0
58,Residential,51 TO 70 KWH,,,51.0,70,5.4121,0.9386,,1.1282,,0.5730,18.85,0.3840,5.00,0.5579,0.1561,0.0025,0.1938,0.0406,,,35.00%,,,,Apr-2015,03-26-2015,04-25-2015,,,,,,,,,,,,,,,,,,1.9078999999999997,0.0
59,Residential,71 TO 100 KWH,,,71.0,100,5.4121,0.9386,,1.1282,,0.5730,18.85,0.3840,5.00,0.5579,0.1561,0.0025,0.1938,0.0406,,,20.00%,,,,Apr-2015,03-26-2015,04-25-2015,,,,,,,,,,,,,,,,,,1.9078999999999997,0.0
60,Residential,101 TO 200 KWH,,,101.0,200,5.4121,0.9386,,1.1282,,0.5730,18.85,0.3840,5.00,0.5579,0.1561,0.0025,0.1938,0.0406,0.1563,0.0001,,,,,Apr-2015,03-26-2015,04-25-2015,,,,,,,,,,,,,,,,,,2.0643000000000002,0.0
61,Residential,201 TO 300 KWH,,,201.0,300,5.4121,0.9386,,1.4855,,0.5730,18.85,0.3840,5.00,0.5579,0.1561,0.0025,0.1938,0.0406,0.1563,0.0001,,,,,Apr-2015,03-26-2015,04-25-2015,,,,,,,,,,,,,,,,,,2.0643000000000002,0.0
62,Residential,301 TO 400 KWH,,,301.0,400,5.4121,0.9386,,1.8227,,0.5730,18.85,0.3840,5.00,0.5579,0.1561,0.0025,0.1938,0.0406,0.1563,0.0001,,,,,Apr-2015,03-26-2015,04-25-2015,,,,,,,,,,,,,,,,,,2.0643000000000002,0.0
63,Residential,OVER 400 KWH,,,400.0,,5.4121,0.9386,,2.4100,,0.5730,18.85,0.3840,5.00,0.5579,0.1561,0.0025,0.1938,0.0406,0.1563,0.0001,,,,,Apr-2015,03-26-2015,04-25-2015,,,,,,,,,,,,,,,,,,2.0643000000000002,0.0
64,General Service A,0 TO 200 KWH,,,0.0,200,5.4121,0.9386,,1.1282,,0.5730,18.85,0.3840,5.00,0.5579,0.1561,0.0025,0.1938,0.0406,0.1563,0.0001,,5%,,,Apr-2015,03-26-2015,04-25-2015,,,,,,,,,,,,,,,,,,2.0643000000000002,0.0
65,General Service A,201 TO 300 KWH,,,201.0,300,5.4121,0.9386,,1.4855,,0.5730,18.85,0.3840,5.00,0.5579,0.1561,0.0025,0.1938,0.0406,0.1563,0.0001,,5%,,,Apr-2015,03-26-2015,04-25-2015,,,,,,,,,,,,,,,,,,2.0643000000000002,0.0
66,General Service A,301 TO 400 KWH,,,301.0,400,5.4121,0.9386,,1.8227,,0.5730,18.85,0.3840,5.00,0.5579,0.1561,0.0025,0.1938,0.0406,0.1563,0.0001,,5%,,,Apr-2015,03-26-2015,04-25-2015,,,,,,,,,,,,,,,,,,2.0643000000000002,0.0
67,General Service A,OVER 400 KWH,,,400.0,,5.4121,0.9386,,2.4100,,0.5730,18.85,0.3840,5.00,0.5579,0.1561,0.0025,0.1938,0.0406,0.1563,0.0001,,5%,,,Apr-2015,03-26-2015,04-25-2015,,,,,,,,,,,,,,,,,,2.0643000000000002,0.0
